,mean_conf,min_conf,std_conf,words_count,char_count,num_text_lines,num_text_blocks,low_conf_ratio,text_density,handwriting_ocr,detected_lang,detected_lang_conf,text_area,mean_orientation,relative_label_centroid_x,relative_label_centroid_y,resolution,laplacian,contrast,brightness,noise,noise_sigma,background_uniformity,overlapped_label_area,number_of_labels,label_coordinates,mean_label_width,mean_label_height,label_spread,areas,handwritten_flag
B101178147,74.45619978205127,0.0,27.002863282256374,78,333.0,19,4,0.19230769230769232,0.025928554417718505,0.0,en,364.9985372211122,108874,0.2430354546448555,0.4526470588235294,0.8568825910931174,4.199,300.4031593303934,42.007719829998244,224.45732174327222,2.9347930459633247,0.1853252773131943,7.552778687228402,0.4882423667141275,1,"[(5, 1925, 607, 2450)]",602.0,525.0,0.0,316050.0,0.0
B101178199,70.53587875,0.0,32.287224715524076,144,585.0,53,24,0.2777777777777778,0.0,0.0,en,333.35593312720823,0,0.0,0.5,0.5,4.2143,454.7843511513349,50.06286231263042,211.02937735804286,5.86444510357592,0.2531590367732324,10.912905696946158,0.0,1,"[(12, 2045, 604, 2466)]",592.0,421.0,0.0,249232.0,0.0
B101178242,42.17028446341463,0.0,35.12899634368017,41,164.0,10,6,0.6829268292682927,0.04214531466526497,1.0,de,45.714068371955776,176395,0.2745115695098079,0.4602941176470588,0.8269699431356621,4.1854,354.2880389187246,46.98343400808231,217.52585487647536,4.473940125197114,0.18532527731320222,13.402101245253835,0.000161843396283671,1,"[(14, 1960, 623, 2447)]",609.0,487.0,0.0,296583.0,0.0
B101178302,81.85122661194029,0.0,23.939638793499377,67,336.0,22,15,0.1044776119402985,0.0,0.0,en,158.9994954934908,0,0.0,0.5,0.5,4.1905,313.1408686172187,41.67877768380153,225.00017706717574,2.7475699797160242,0.18532527731319987,7.345796702225632,0.0,1,"[(17, 1880, 633, 2450)]",616.0,570.0,0.0,351120.0,0.0
B101178308,78.10218562295083,0.0,27.626170945095655,61,335.0,16,11,0.18032786885245902,0.022964791756118506,0.0,en,156.9996049068386,96273,0.19886139681467596,0.45529411764705885,0.8899026763990268,4.1922,317.412625892693,43.53318426981266,222.4178519631697,3.2559248127474834,0.19197815544290428,8.072832374752196,0.36042283322541857,1,"[(7, 1885, 615, 2454)]",608.0,569.0,0.0,345952.0,0.0
B101178323,72.95135340909088,0.0,31.502869090367245,44,225.0,12,6,0.22727272727272727,0.029601394760096485,0.0,en,169.99938579780684,123944,0.26441708904401096,0.4652941176470588,0.8686561104344296,4.1871,372.93596396209233,44.85119244840701,216.6917627952521,5.896034964533926,0.3276456743629346,10.999508327845113,0.001238695817885728,1,"[(17, 1858, 801, 2447)]",784.0,589.0,0.0,461776.0,0.0
B101178456,94.7483215,91.776215,1.8361209556110403,8,33.0,3,2,0.0,0.05484654211420233,0.0,de,20.71418445608428,229275,0.26335820064307425,0.46,0.892842618950793,4.1803,212.8261583010498,41.02161718468103,216.47766404325048,3.526274190847547,0.23498303570633283,16.853891178468434,0.0,1,"[(22, 1934, 803, 2438)]",781.0,504.0,0.0,393624.0,0.0
B101178502,49.76960647619049,0.0,28.38837427523449,21,57.0,4,2,0.42857142857142855,0.05642517388914119,1.0,zz,0.0,236066,0.45038255298592184,0.5197058823529411,0.8384802925639984,4.1837,305.0906624651184,46.26338129649677,213.17552286253795,4.316456246862825,0.2101541565097734,7.1592862197901495,0.0,1,"[(52, 2009, 787, 2423)]",735.0,414.0,0.0,304290.0,0.0
B101178521,53.524127,0.0,36.76719002600231,36,164.0,13,7,0.4166666666666667,0.08333206216035847,0.0,de,19.999902233460684,349628,0.4199285254032472,0.4582352941176471,0.8561588330632091,4.1956,295.8862537718872,42.38292993538019,222.14712460673087,3.0876446753742015,0.2283301575766549,7.186075631719074,0.04420304707248753,1,"[(26, 1765, 740, 2257)]",714.0,492.0,0.0,351288.0,0.0
B101178526,0.0,0.0,0.0,0,0.0,0,0,0.0,0.020417642280307735,0.0,zz,0.0,85456,0.1776516423903681,0.47852941176470587,0.9406986190089358,4.1854,323.1168649367175,43.286087221589916,216.3174444497539,4.340940650833851,0.2531590367732192,9.768129185016113,0.0003938529761427207,1,"[(6, 2117, 827, 2451)]",821.0,334.0,0.0,274214.0,0.0
B101178563,71.35690424137931,0.0,32.227605250984226,58,304.0,12,5,0.22413793103448276,0.02914021637887798,0.0,en,182.57102432070818,122013,0.21652150748225577,0.475,0.8970767356881851,4.1871,281.3594610988866,46.2586819732179,220.28799336055982,3.613598672111963,0.18532527731320922,7.75970697723204,0.0,2,"[(13, 2031, 618, 2444), (726, 2288, 1041, 2388)]",460.0,256.5,476.21981531641455,281365.0,0.0
B101178574,0.0,0.0,0.0,0,0.0,0,0,0.0,0.09625579791156252,0.0,zz,0.0,404669,0.2096453682235904,0.45647058823529413,0.8111605337646584,4.2041,377.1758177696677,46.37970096676062,203.7251768511691,7.043558906781476,0.4136554348898721,13.652099954874023,0.0,1,"[(32, 2053, 649, 2447)]",617.0,394.0,0.0,243098.0,0.0
B101178629,71.99300525925928,0.0,31.008223854388113,54,233.0,13,7,0.2222222222222222,0.023354730939028755,0.0,ca,58.285534618295884,97868,0.1604189498594333,0.4717647058823529,0.9117647058823529,4.1905,363.2437685602096,46.23536747913326,219.0291654933779,3.6672585610309034,0.18532527731320173,8.097200818365414,0.0006022080963532954,1,"[(11, 2057, 621, 2449)]",610.0,392.0,0.0,239120.0,0.0
B101178670,93.64951846153848,91.367081,1.7837624865142796,13,54.0,4,2,0.0,0.0037087925194408664,0.0,de,20.71418445608428,15548,0.2603226050494109,0.7979411764705883,0.9099756690997567,4.1922,242.3705964333722,45.96041418075208,213.56216449596872,4.156955775010735,0.18532527731318008,7.140136679482769,0.0,1,"[(21, 1966, 690, 2416)]",669.0,450.0,0.0,301050.0,0.0
B101178744,80.30072761818182,0.0,26.26280274038782,55,306.0,13,6,0.12727272727272726,0.02505037242169595,0.0,id,106.28509073310533,104931,0.18786763789443825,0.4626470588235294,0.913961038961039,4.1888,232.0615979218864,40.93968994139249,224.95194160618792,2.495286000763942,0.13566751892004816,8.340981589549926,0.0,1,"[(17, 2023, 616, 2445)]",599.0,422.0,0.0,252778.0,0.0
