,number_of_labels,mean_label_width,mean_label_height,label_spread,areas,handwritten_flag
B100647624,0.3333333333333333,0.5400881057268723,0.44929925803792253,0.0,0.26390604807239615,0.0
B100647808,0.3333333333333333,0.5497797356828195,0.45012366034624895,0.0,0.2691346399941861,0.0
B100647839,0.3333333333333333,0.5524229074889868,0.45094806265457543,0.0,0.2709238469291996,0.0
B100648868,0.3333333333333333,0.5559471365638767,0.44929925803792253,0.0,0.27165532843993795,0.0
B100648869,0.3333333333333333,0.5550660792951542,0.45094806265457543,0.0,0.2722201332781431,0.0
B100649029,0.3333333333333333,0.32687224669603526,0.1508656224237428,0.0,0.05363118165071521,0.0
B100649043,0.3333333333333333,0.38325991189427316,0.2382522671063479,0.0,0.09930690941952282,0.0
B100649285,0.3333333333333333,0.36475770925110135,0.2448474855729596,0.0,0.09712905356087728,0.0
B100649378,0.3333333333333333,0.3577092511013216,0.281121187139324,0.0,0.10936359528692087,0.0
B100649411,0.0,0.0,0.0,0.0,0.0,0.0
B100649439,0.0,0.0,0.0,0.0,0.0,0.0
B100649626,0.3333333333333333,0.3929515418502203,0.2522671063478978,0.0,0.1078074197187193,0.0
B100649638,0.3333333333333333,0.39383259911894275,0.24567188788128608,0.0,0.10522432626287202,0.0
B100649649,0.3333333333333333,0.3541850220264317,0.2514427040395713,0.0,0.09685415554172289,0.0
B100649788,0.0,0.0,0.0,0.0,0.0,0.0
B100649851,0.3333333333333333,0.40440528634361234,0.26380873866446825,0.0,0.11602592256723153,0.0
B100649902,0.3333333333333333,0.38854625550660793,0.24319868095630667,0.0,0.1027668327640522,0.0
B100649949,0.3333333333333333,0.5083700440528635,0.3462489694971146,0.0,0.19143329299389222,0.0
B100649959,0.0,0.0,0.0,0.0,0.0,0.0
B100649963,0.3333333333333333,0.38942731277533044,0.2382522671063479,0.0,0.10090495164006687,0.0
B100650403,0.3333333333333333,0.694273127753304,0.36356141797197034,0.0,0.2745093702307564,0.0
B100650679,0.3333333333333333,0.681057268722467,0.4657873042044518,0.0,0.34500096372294076,0.0
B100652776,0.3333333333333333,0.5453744493392071,0.4460016488046167,0.0,0.26453325792069665,0.0
B100652803,0.3333333333333333,0.5427312775330396,0.4460016488046167,0.0,0.2632511904348129,0.0
B100653532,0.3333333333333333,0.5488986784140969,0.4591920857378401,0.0,0.27411677162294107,0.0
B100653534,0.3333333333333333,0.5497797356828195,0.4600164880461665,0.0,0.2750496870270253,0.0
B100653589,0.3333333333333333,0.5480176211453744,0.460840890354493,0.0,0.27465945822972,0.0
B100653640,0.3333333333333333,0.5559471365638767,0.45671887881286066,0.0,0.27614137973527636,0.0
B100655001,0.0,0.0,0.0,0.0,0.0,0.0
B100655025,0.0,0.0,0.0,0.0,0.0,0.0
B100655057,0.3333333333333333,0.5004405286343613,0.34295136026380874,0.0,0.18665259525848316,0.0
B100655135,0.3333333333333333,0.5215859030837005,0.3528441879637263,0.0,0.2001510359231676,0.0
B100655175,0.3333333333333333,0.3744493392070485,0.1549876339653751,0.0,0.06311595324837826,0.0
B100655195,0.0,0.0,0.0,0.0,0.0,0.0
B100655248,0.3333333333333333,0.3524229074889868,0.23742786479802144,0.0,0.09100072358214238,0.0
B100655256,0.0,0.0,0.0,0.0,0.0,0.0
B100655264,0.3333333333333333,0.33568281938325994,0.14756801319043694,0.0,0.05387290232273028,0.0
B100655353,0.3333333333333333,0.38502202643171807,0.23577906018136852,0.0,0.09872788571825797,0.0
B100655372,0.3333333333333333,0.4757709251101322,0.2951360263808739,0.0,0.15271058926128267,0.0
B100655518,0.3333333333333333,0.37533039647577093,0.2291838417147568,0.0,0.09355063969085033,0.0
B100655629,0.3333333333333333,0.5224669603524229,0.3330585325638912,0.0,0.18924674783004353,0.0
B100655740,0.3333333333333333,0.36475770925110135,0.23165704863973618,0.0,0.09189651195490409,0.0
B100655765,0.3333333333333333,0.360352422907489,0.2225886232481451,0.0,0.08723272487131929,0.0
B100655801,0.3333333333333333,0.3797356828193833,0.23165704863973618,0.0,0.09567004022358373,0.0
B100655868,0.3333333333333333,0.3876651982378855,0.23742786479802144,0.0,0.10010079594035662,0.0
B100655973,0.0,0.0,0.0,0.0,0.0,0.0
B100657049,0.3333333333333333,0.4854625550660793,0.3281121187139324,0.0,0.17323156840379045,0.0
B100657673,0.3333333333333333,0.360352422907489,0.21269579554822754,0.0,0.08335571487703844,0.0
B100657696,0.3333333333333333,0.3612334801762115,0.21269579554822754,0.0,0.08355951858089428,0.0
B100660769,0.3333333333333333,0.5480176211453744,0.4476504534212696,0.0,0.2667980068313738,0.0
B100660785,0.3333333333333333,0.5524229074889868,0.4476504534212696,0.0,0.26894268534288,0.0
B100663562,0.3333333333333333,0.507488986784141,0.3685078318219291,0.0,0.20338661720608822,0.0
B100663564,0.3333333333333333,0.6185022026431718,0.47155812036273703,0.0,0.317194397136005,0.0
B100663679,0.3333333333333333,0.5691629955947137,0.34212695795548226,0.0,0.21177416653764367,0.0
B100663690,0.3333333333333333,0.5806167400881057,0.2522671063478978,0.0,0.1592939228579283,0.0
B100664146,0.3333333333333333,0.6431718061674009,0.4204451772464963,0.0,0.2940934842849966,0.0
B100664506,0.3333333333333333,0.4378854625550661,0.2654575432811212,0.0,0.12641675171653274,0.0
B100666977,0.3333333333333333,0.520704845814978,0.36933223413025557,0.0,0.20914999636629056,0.0
B100671012,0.3333333333333333,0.3145374449339207,0.1170651277823578,0.0,0.04004505799716255,0.0
B100671148,0.3333333333333333,0.5242290748898679,0.36108821104699096,0.0,0.2058654389994976,0.0
B100671160,0.3333333333333333,0.3092511013215859,0.2563891178895301,0.0,0.08623029502560976,0.0
B100671163,0.3333333333333333,0.3973568281938326,0.24896949711459193,0.0,0.10759097702547706,0.0
B100671190,0.0,0.0,0.0,0.0,0.0,0.0
B100671193,0.3333333333333333,0.31277533039647576,0.20774938169826876,0.0,0.07066774940675744,0.0
B100671283,0.6666666666666666,0.347136563876652,0.20651277823577907,0.15673002259740762,0.15959488879269215,0.0
B100671299,0.3333333333333333,0.40440528634361234,0.23000824402308326,0.0,0.10116010123830499,0.0
