,mean_conf,min_conf,std_conf,words_count,char_count,num_text_lines,num_text_blocks,low_conf_ratio,text_density,handwriting_ocr,detected_lang_conf,text_area,mean_orientation,relative_label_centroid_x,relative_label_centroid_y,resolution,laplacian,contrast,brightness,noise,noise_sigma,background_uniformity,overlapped_label_area,detected_lang_encoded
../../data/sample_images_stratified_after_filter/B101176470.jpg,0.5394647942912831,0.0,0.7468214848379858,0.10117647058823528,0.05837883242335154,0.13793103448275862,0.12,0.46511627906976744,0.1502264587313674,0.0,0.034330960860398906,0.1568352802547049,0.5138500325065014,0.4356532897561559,0.7066991971067698,0.8502097064110247,0.029132452139121724,0.5190431472269812,0.4803435180473461,0.3785711186675515,0.2428982038286869,0.10955959069830115,0.0,0.23076923076923078
../../data/sample_images_stratified_after_filter/B101176577.jpg,0.5428054015512369,0.0,0.7068575280056036,0.12470588235294117,0.08189836203275935,0.25862068965517243,0.2,0.5094339622641509,0.48543641214691624,0.0,0.0,0.5078207321632922,0.6173115859104378,0.4383633330718919,0.6546501899140598,0.8532055122828041,0.019943526912427567,0.33988525476507137,0.607307395735599,0.15720131774697677,0.1619321358857958,0.16174815097640013,0.0,1.0
../../data/sample_images_stratified_after_filter/B101176580.jpg,0.6353083574150703,0.0,0.7572237032695791,0.05647058823529411,0.039479210415791686,0.12068965517241378,0.2,0.4583333333333333,0.19428742144977418,0.0,0.00911719880767917,0.20349341143679398,0.42349431380514635,0.4496551802207913,0.8472314364075819,0.8550029958058719,0.031360524320070964,0.41795834887703154,0.48500490294075704,0.32068852852788443,0.20867791700784774,0.24796378776957553,0.006255247167628378,0.19230769230769232
../../data/sample_images_stratified_after_filter/B101176585.jpg,0.8485377914232144,0.03047194744302759,0.5097657650184374,0.10588235294117646,0.10499790004199916,0.25862068965517243,0.36,0.15555555555555556,0.07668085621245024,0.0,0.022635813159295134,0.08008673336430279,0.3366854937617961,0.4532685713084392,0.8335835169117471,0.8508088675853805,0.016080754110489925,0.34021169634185977,0.7053360989854003,0.1294947610933888,0.17445763018700924,0.08890035331556304,0.0,0.19230769230769232
../../data/sample_images_stratified_after_filter/B101176709.jpg,0.5420329394051503,0.0,0.663996281424722,0.14823529411764705,0.0898782024359513,0.41379310344827586,0.28,0.5555555555555556,0.2155104159977952,0.0,0.048855622546779214,0.2257220226832391,0.5201026111628989,0.4460417891331435,0.816055341780948,0.8550029958058719,0.024790884039384148,0.44698151668932085,0.4451099552571556,0.32436624075567894,0.20867791700784372,0.22394718824289997,0.0,0.23076923076923078
../../data/sample_images_stratified_after_filter/B101176723.jpg,0.6276960248571987,0.0,0.7115419099179711,0.10117647058823528,0.08315833683326335,0.27586206896551724,0.24,0.3953488372093023,0.11630950587460144,0.0,0.036720248009887754,0.12211644138274849,0.5371933613611971,0.39951937887967737,0.7443124633956342,0.8585979628520072,0.010282078164947035,0.29372640351334667,0.5204093648240378,0.23487899327775758,0.23372890561029178,0.13583083412908456,0.0,0.23076923076923078
../../data/sample_images_stratified_after_filter/B101176758.jpg,0.845909947900277,0.039456355876084016,0.4978703669259798,0.06352941176470588,0.05249895002099958,0.1896551724137931,0.28,0.14814814814814814,0.3235756151473458,0.0,0.023013074317603174,0.3373990187969499,0.7119020651503585,0.4207480515196085,0.6825932619399679,0.848412222887957,0.01545895318109139,0.26734296547829484,0.5114383970985648,0.2264431452288947,0.221203411309068,0.14488986910600962,0.0,0.19230769230769232
../../data/sample_images_stratified_after_filter/B101176808.jpg,0.6621706677335251,0.0,0.6942915984587574,0.08235294117647059,0.0634187316253675,0.1724137931034483,0.2,0.2857142857142857,0.052856840868398106,0.0,0.02106387714730002,0.05686247294893439,0.47717803114021057,0.4184896820898286,0.9052602523697362,0.8951467944877175,0.011042873166970515,0.33729904122185816,0.47288825551335867,0.23584589441525816,0.2303727095274738,0.13164208034888772,0.0,0.038461538461538464
../../data/sample_images_stratified_after_filter/B101176828.jpg,0.5994035136356671,0.0,0.6636281409566248,0.18117647058823527,0.1364972700545989,0.3793103448275862,0.44,0.44155844155844154,0.40574257919279205,0.0,0.05457746807350624,0.42376414869871626,0.5262187680333097,0.4415250502735837,0.7076798737086551,0.8508088675853805,0.04258833917696827,0.38246336704785333,0.6796540873618193,0.1304598777748443,0.1277118490649526,0.18067034266360102,0.0,0.34615384615384615
../../data/sample_images_stratified_after_filter/B101176893.jpg,0.48572227136786494,0.0,0.7070280258593192,0.12941176470588234,0.09659806803863924,0.3103448275862069,0.44,0.5636363636363636,0.43514773523991307,1.0,0.017605645192587806,0.46056209565030193,0.5723479015080568,0.44423509358931956,0.7500243402922453,0.8705811863391254,0.022928160366932474,0.41250108460437707,0.35194951444101363,0.41836670054141606,0.31469497355317744,0.21762512021954936,0.005484377263274758,0.0
